Beta,Bin,Start,End,Count
10.0,30,-19226.666666666668,-19200.0,2
15.0,1,-20000.0,-19973.066666666666,31
15.0,2,-19973.066666666666,-19946.133333333335,0
15.0,3,-19946.133333333335,-19919.2,0
15.0,4,-19919.2,-19892.266666666666,0
15.0,5,-19892.266666666666,-19865.333333333332,0
15.0,6,-19865.333333333332,-19838.4,1
15.0,7,-19838.4,-19811.466666666667,0
15.0,8,-19811.466666666667,-19784.533333333333,0
15.0,9,-19784.533333333333,-19757.6,0
15.0,10,-19757.6,-19730.666666666668,0
15.0,11,-19730.666666666668,-19703.733333333334,0
15.0,12,-19703.733333333334,-19676.8,0
15.0,13,-19676.8,-19649.866666666665,0
15.0,14,-19649.866666666665,-19622.933333333334,0
15.0,15,-19622.933333333334,-19596.0,0
15.0,16,-19596.0,-19569.066666666666,13
15.0,17,-19569.066666666666,-19542.133333333335,3
15.0,18,-19542.133333333335,-19515.2,0
15.0,19,-19515.2,-19488.266666666666,0
15.0,20,-19488.266666666666,-19461.333333333332,0
15.0,21,-19461.333333333332,-19434.4,0
15.0,22,-19434.4,-19407.466666666667,0
15.0,23,-19407.466666666667,-19380.533333333333,0
15.0,24,-19380.533333333333,-19353.6,0
15.0,25,-19353.6,-19326.666666666668,0
15.0,26,-19326.666666666668,-19299.733333333334,0
15.0,27,-19299.733333333334,-19272.8,0
15.0,28,-19272.8,-19245.866666666665,0
15.0,29,-19245.866666666665,-19218.933333333334,0
15.0,30,-19218.933333333334,-19192.0,2
20.0,1,-20000.0,-19973.066666666666,28
20.0,2,-19973.066666666666,-19946.133333333335,0
20.0,3,-19946.133333333335,-19919.2,0
20.0,4,-19919.2,-19892.266666666666,0
20.0,5,-19892.266666666666,-19865.333333333332,0
20.0,6,-19865.333333333332,-19838.4,0
20.0,7,-19838.4,-19811.466666666667,0
20.0,8,-19811.466666666667,-19784.533333333333,0
20.0,9,-19784.533333333333,-19757.6,0
20.0,10,-19757.6,-19730.666666666668,0
20.0,11,-19730.666666666668,-19703.733333333334,1
20.0,12,-19703.733333333334,-19676.8,0
20.0,13,-19676.8,-19649.866666666665,0
20.0,14,-19649.866666666665,-19622.933333333334,0
20.0,15,-19622.933333333334,-19596.0,1
20.0,16,-19596.0,-19569.066666666666,18
20.0,17,-19569.066666666666,-19542.133333333335,1
20.0,18,-19542.133333333335,-19515.2,0
20.0,19,-19515.2,-19488.266666666666,0
20.0,20,-19488.266666666666,-19461.333333333332,0
20.0,21,-19461.333333333332,-19434.4,0
20.0,22,-19434.4,-19407.466666666667,0
20.0,23,-19407.466666666667,-19380.533333333333,0
20.0,24,-19380.533333333333,-19353.6,0
20.0,25,-19353.6,-19326.666666666668,0
20.0,26,-19326.666666666668,-19299.733333333334,0
20.0,27,-19299.733333333334,-19272.8,0
20.0,28,-19272.8,-19245.866666666665,0
20.0,29,-19245.866666666665,-19218.933333333334,0
20.0,30,-19218.933333333334,-19192.0,1
